,pos_from_command_x,pos_from_command_y,pos_from_command_z,pos_from_AR_x,pos_from_AR_y,pos_from_AR_z,xy_length_from_command,xy_length_from_AR
158,21.316,-19.741,24.761,22.861,-19.515,21.467,29.05303662,30.05762043
159,20.937,-17.002,15.797,21.934,-15.404,13.473,26.9708356,26.80267845
160,27.386,0.682,7.753,28.123,1.09,6.205,27.39449069,28.14411535
161,25.948,-11.501,21.461,26.777,-10.363,18.509,28.38259511,28.71235793
162,35.317,8.919,18.402,36.319,8.95,14.914,36.42580198,37.4055111
163,20.12,-0.999,25.998,21.222,-0.68,23.004,20.14478595,21.23289156
164,28.928,12.235,12.705,29.788,12.052,10.319,31.40898612,32.13371513
165,27.925,-6.459,25.363,29.06,-6.348,22.04,28.66224531,29.74526356
166,20.845,9.231,10.313,22.398,9.293,9.418,22.7974864,24.2493351
167,39.62,15.167,18.949,41.232,15.024,14.506,42.42384104,43.88391961
168,24.26,-15.015,18.551,25.278,-13.761,15.835,28.53064712,28.78093822
169,21.954,19.901,22.239,23.155,19.945,19.653,29.63153585,30.56071089
170,30.299,7.945,20.234,31.334,7.64,17.076,31.32335273,32.2519636
171,38.359,-11.943,28.404,40.463,-11.882,23.816,40.17521786,42.17151044
172,33.725,15.953,28.194,35.732,16.53,24.476,37.30782537,39.37025176
173,22.663,5.07,10.566,23.964,5.417,9.609,23.22318817,24.56862196
174,22.793,-17.019,20.213,23.846,-15.514,17.351,28.44586455,28.4484782
175,25.213,18.424,17.946,26.506,17.873,15.305,31.22721802,31.96892499
176,26.926,-3.245,8.94,27.6,-2.92,7.053,27.1208315,27.75403394
177,21.21,-19.563,16.269,22.481,-18.217,13.671,28.85437695,28.93534949
178,25.494,-5.845,18.817,26.114,-5.108,16.215,26.15545949,26.6088831
179,29.777,3.557,28.701,31.57,3.428,25.226,29.9886975,31.75556776
180,45.462,-3.175,24.912,47.81,-3.024,19.827,45.57273383,47.9055391
182,43.767,2.43,15.024,44.799,2.712,10.456,43.83440645,44.88101319
183,40.912,-0.442,20.918,42.45,-0.371,16.527,40.91438754,42.45162118
184,48.256,-7.435,18.346,50.215,-6.821,13.435,48.82541102,50.67615086
185,44.498,15.163,15.257,45.479,15.502,9.835,47.01051556,48.04842812
186,44.107,-6.406,29.386,46.968,5.113,27.412,44.56976873,47.24548437
187,47.154,1.084,11.214,48.208,1.902,6.412,47.16645812,48.24550619
188,47.301,-10.298,9.604,48.538,-9.665,4.839,48.40902194,49.49090491
189,44.235,3.258,12.629,44.849,3.44,7.712,44.35481698,44.98073366
190,47.922,0.847,25.64,50.782,1.342,20.305,47.92948459,50.79972921
191,44.218,-9.269,26.819,46.677,-9.307,21.438,45.17904254,47.59582522
192,46.669,16.02,16.166,47.985,16.98,10.671,49.34203037,50.90069376
193,45.102,7.882,9.324,45.792,7.987,4.636,45.78554715,46.48332425
194,48.465,-9.872,24.832,51.409,-9.979,19.305,49.46021238,52.36855662
195,49.776,6.442,14.855,51.387,6.832,8.944,50.19113009,51.83917431
196,46.108,-6.631,18.673,47.78,-6.011,13.636,46.58237676,48.15662489
197,45.24,11.516,29.346,47.683,13.585,25.064,46.68271475,49.58044689
198,44.039,10.616,14.863,44.964,10.966,9.92,45.30047436,46.28190199
199,40.922,-12.412,23.26,43.118,-12.029,18.357,42.76292586,44.76448106
200,47.846,-8.314,23.803,50.364,-8.063,17.92,48.56297264,51.00533761
201,40.947,12.117,8.957,41.471,11.987,4.788,42.70220718,43.16864615
202,42.609,-13.435,20.829,44.485,-13.644,15.694,44.67690797,46.53035526
203,47.91,15.275,13.907,49.091,16.23,7.908,50.28611861,51.70434393
204,44.464,-3.779,27.801,47.129,-3.423,22.535,44.62429985,47.25314349
205,44.429,-18.378,22.471,47.011,-18.835,17.193,48.08000546,50.64376907
206,42.647,-11.482,27.248,45.214,-11.297,22.083,44.16563068,46.60394838
207,43.404,16.044,13.761,44.209,16.465,8.649,46.2743682,47.17554352
208,41.822,-19.503,23.715,44.354,-19.719,18.692,46.14592824,48.53984216
209,42.136,-10.086,18.703,43.772,-9.59,14.167,43.3263187,44.81022299
210,43.774,-3.878,18.969,45.313,-3.528,14.317,43.94544299,45.4501348
211,45.544,-11.1,28.784,48.56,-11.099,23.489,46.8771366,49.81226155
212,40.148,-11.696,22.637,42.098,-11.362,17.96,41.81696211,43.60431914
213,43.929,-12.596,15.334,45.4,-12.081,10.443,45.69919318,46.97989529
214,45.749,1.614,17.923,47.188,2.091,12.942,45.77746167,47.23430559
215,42.459,-17.09,27.659,45.444,-17.552,22.516,45.76936509,48.71580688
217,43.086,19.245,13.674,43.78,19.763,8.168,47.18870014,48.03399389
218,40.305,-8.779,24.158,42.247,-8.258,19.607,41.25001656,43.046528
219,40.848,-9.837,14.346,42.012,-9.158,10.234,42.01577886,42.998571
220,42.821,-3.24,7.809,43.942,-3.165,4.499,42.94340044,44.0558349
221,47.416,16.451,17.731,48.992,17.81,12.154,50.18876824,52.12880359
222,41.746,-2.344,26.118,43.864,-1.739,21.368,41.81175495,43.89845803
223,48.857,-6.88,15.763,50.558,-6.39,10.289,49.33903981,50.96021452
224,47.746,17.255,14.227,48.914,18.709,8.613,50.76825328,52.36989667
225,46.505,-10.05,26.872,49.367,-9.949,21.277,47.57854059,50.35954021
